typecode,freqcode,refperiodid,refyear,refmonth,period,reportercode,reporteriso,reporterdesc,flowcode,flowdesc,partnercode,partneriso,partnerdesc,partner2code,partner2iso,partner2desc,classificationcode,classificationsearchcode,isoriginalclassification,cmdcode,cmddesc,aggrlevel,isleaf,customscode,customsdesc,moscode,motcode,motdesc,qtyunitcode,qtyunitabbr,qty,isqtyestimated,altqtyunitcode,altqtyunitabbr,altqty,isaltqtyestimated,netwgt,isnetwgtestimated,grosswgt,isgrosswgtestimated,cifvalue,fobvalue,primaryvalue,legacyestimationflag,isreported,isaggregate
C,M,20230101,2023,1,202301,818,EGY,Egypt,M,Import,276,DEU,Germany,0,W00,World,H6,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.113,True,-1,,0,False,0.113,True,0,False,6656.064,0.0,6656.064,6,False,True
C,M,20230101,2023,1,202301,818,EGY,Egypt,M,Import,276,DEU,Germany,0,W00,World,H6,HS,True,710811,"Metals; gold, non-monetary, powder",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.046,True,-1,,0,False,0.046,True,0,False,2744.757,0.0,2744.757,6,True,False
C,M,20230101,2023,1,202301,818,EGY,Egypt,M,Import,276,DEU,Germany,0,W00,World,H6,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.067,True,-1,,0,False,0.067,True,0,False,3911.307,0.0,3911.307,6,True,False
C,M,20230101,2023,1,202301,818,EGY,Egypt,X,Export,124,CAN,Canada,0,W00,World,H6,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,892.563,True,-1,,0,False,892.563,True,0,False,0.0,54713281.73,54713281.73,6,False,True
C,M,20230101,2023,1,202301,818,EGY,Egypt,X,Export,124,CAN,Canada,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,892.563,True,-1,,0,False,892.563,True,0,False,0.0,54713281.73,54713281.73,6,True,False
C,M,20230201,2023,2,202302,818,EGY,Egypt,M,Import,124,CAN,Canada,0,W00,World,H6,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,47.21,True,-1,,0,False,47.21,True,0,False,2864228.5,0.0,2864228.5,6,False,True
C,M,20230201,2023,2,202302,818,EGY,Egypt,M,Import,124,CAN,Canada,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,47.21,True,-1,,0,False,47.21,True,0,False,2864228.5,0.0,2864228.5,6,True,False
C,M,20230201,2023,2,202302,818,EGY,Egypt,X,Export,124,CAN,Canada,0,W00,World,H6,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,925.648,True,-1,,0,False,925.648,True,0,False,0.0,56741362.48,56741362.48,6,False,True
C,M,20230201,2023,2,202302,854,BFA,Burkina Faso,X,Export,380,ITA,Italy,0,W00,World,H6,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,61.0,False,8,kg,61,False,61.0,False,0,False,0.0,3315301.053,3315301.053,0,False,True
C,M,20230201,2023,2,202302,818,EGY,Egypt,X,Export,124,CAN,Canada,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,925.648,True,-1,,0,False,925.648,True,0,False,0.0,56741362.48,56741362.48,6,True,False
C,M,20230201,2023,2,202302,854,BFA,Burkina Faso,X,Export,380,ITA,Italy,0,W00,World,H6,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,61.0,False,8,kg,61,False,61.0,False,0,False,0.0,3315301.053,3315301.053,0,False,True
C,M,20230301,2023,3,202303,818,EGY,Egypt,M,Import,124,CAN,Canada,0,W00,World,H6,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,46.529,True,-1,,0,False,46.529,True,0,False,2822885.5,0.0,2822885.5,6,False,True
C,M,20230301,2023,3,202303,818,EGY,Egypt,M,Import,276,DEU,Germany,0,W00,World,H6,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.21,True,-1,,0,False,0.21,True,0,False,12495.337,0.0,12495.337,6,False,True
C,M,20230301,2023,3,202303,818,EGY,Egypt,M,Import,276,DEU,Germany,0,W00,World,H6,HS,True,710811,"Metals; gold, non-monetary, powder",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.21,True,-1,,0,False,0.21,True,0,False,12495.337,0.0,12495.337,6,True,False
C,M,20230301,2023,3,202303,818,EGY,Egypt,M,Import,124,CAN,Canada,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,46.529,True,-1,,0,False,46.529,True,0,False,2822885.5,0.0,2822885.5,6,True,False
C,M,20230301,2023,3,202303,818,EGY,Egypt,X,Export,124,CAN,Canada,0,W00,World,H6,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1487.072,True,-1,,0,False,1487.072,True,0,False,0.0,91156170.18,91156170.18,6,False,True
